t(s),joint,q_ref,qdot_ref,qddot_ref,q_fuzzy,q_hac,e_fuzzy,e_hac,ed_fuzzy,ed_hac,pwm_fuzzy,pwm_hac,delta_pwm,grav_fuzzy,grav_hac
0.1400,elbow,0.049018,0.700000,5.000000,0.003266,0.008136,0.045752,0.040882,0.581056,0.451569,82.7860,124.5908,-41.8048,0.2082,0.5187
0.1400,wrist_angle,0.049000,0.700000,5.000000,0.008284,0.012914,0.040716,0.036086,0.382935,0.317618,133.5887,107.3322,26.2564,0.3314,0.5166
0.1400,wrist_rotate,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1500,waist,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1500,shoulder,-0.056250,-0.750000,-5.000000,-0.003585,-0.008981,-0.052665,-0.047269,-0.624940,-0.495246,-102.0569,-144.0467,41.9897,-0.5942,-1.4886
0.1500,elbow,0.056270,0.750000,5.000000,0.004456,0.010620,0.051814,0.045649,0.597945,0.451741,100.4531,137.4665,-37.0135,0.2840,0.6770
0.1500,wrist_angle,0.056250,0.750000,5.000000,0.011455,0.016738,0.044795,0.039512,0.343880,0.296070,153.6009,115.9034,37.6976,0.4582,0.6695
0.1500,wrist_rotate,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1600,waist,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1600,shoulder,-0.064000,-0.800000,-5.000000,-0.004835,-0.011529,-0.059165,-0.052471,-0.640929,-0.497249,-122.9856,-158.4089,35.4233,-0.8014,-1.9109
0.1600,elbow,0.064021,0.800000,5.000000,0.005976,0.013603,0.058045,0.050418,0.607768,0.446765,120.2393,150.2070,-29.9677,0.3810,0.8672
0.1600,wrist_angle,0.064000,0.800000,5.000000,0.015516,0.021277,0.048484,0.042723,0.291486,0.268810,170.8207,123.7381,47.0826,0.6206,0.8510
0.1600,wrist_rotate,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1700,waist,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1700,shoulder,-0.072250,-0.850000,-5.000000,-0.006426,-0.014556,-0.065824,-0.057694,-0.649944,-0.494471,-145.5882,-172.7447,27.1565,-1.0651,-2.4126
0.1700,elbow,0.072272,0.850000,5.000000,0.007898,0.017135,0.064373,0.055137,0.609678,0.436695,141.4755,162.6800,-21.2045,0.5035,1.0923
0.1700,wrist_angle,0.072250,0.850000,5.000000,0.020601,0.026589,0.051649,0.045661,0.227613,0.236329,184.5294,130.7027,53.8267,0.8240,1.0634
