t,phase,ref,pos,vel,e,u
2.689496,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
2.699787,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
2.709965,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
2.720257,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
2.730423,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
2.740778,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
2.750958,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
2.761341,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
2.771493,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
2.781800,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
2.791971,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
2.802339,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
2.812509,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
2.822793,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
2.833031,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
2.843378,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
2.853574,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
2.863951,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
2.874149,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
2.884483,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
2.894714,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
2.905043,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
2.915227,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
2.925566,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
2.935730,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
2.946104,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
2.956274,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
2.966596,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
2.976745,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
2.987061,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
2.997222,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
3.007582,STEP,3.000000,1.845379,0.000000,1.154621,159.048001
3.017734,STEP,3.000000,1.845379,0.000000,1.154621,159.048001
